input_dim,hdims,dprob,batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
784,"[1261, 457, 331]",0.34942143547551163,512,sgd,0.00010505413556842541,0.3530031575101379,False,0.0006275250799377307,True,0.18592580842146936,0.0009274926471912313,0.00016762239755792622,True,0.9812327665441176
784,"[523, 1689]",0.5859406931966873,256,adamax,0.2340829330353511,0.0002151691247778114,False,0.000943334022635703,True,0.019490717640641548,0.00024146270773370442,0.3477821637156521,False,0.9671875
784,"[243, 865, 543, 66]",0.3098904104192527,256,adam,0.11359174674217933,0.0002717497684698542,False,0.4355896886708715,True,0.00283410716962404,0.2629609519633727,0.07007566168645642,True,0.96328125
784,"[2046, 373, 1886]",0.7049617808630577,512,adadelta,0.11225126789939403,0.023588898748346798,False,0.0004022627417887434,True,0.0009192287328817268,0.0023649613970098005,0.011285287222175332,False,0.9440831801470588
784,"[1439, 1456, 1396]",0.5513192559352005,256,adadelta,0.8376388146302457,0.054867977811816356,True,0.0037022869206988418,True,0.08245155098953622,0.00567922374174008,0.00017326529663635616,True,0.942578125
784,[1891],0.08373564729873871,256,adadelta,0.0015528231282886148,0.00929692028468077,False,0.0026972156768672647,True,0.04158007131634749,0.003127560411392145,0.0008670646903645825,False,0.92841796875
784,"[1000, 2041, 1203, 605]",0.4954968327657873,64,adadelta,0.1014312961401944,0.008386263650487495,False,0.0013514865791745205,True,0.0001094030421934068,0.002307724326053504,0.0571594479703744,False,0.8425557324840764
784,"[156, 887, 626, 893]",0.4308684547020106,128,adadelta,0.0017743728837162818,0.005074639876783339,False,0.5979158591419458,False,0.031319282717196036,0.0002900504745273939,0.0018584116841385647,True,0.7123219936708861
784,"[247, 659, 612, 1431]",0.9883455358286273,512,adam,0.0014789641647004013,0.012023768675330369,False,0.8600496820728226,True,0.018089900232816335,0.1689953428487048,0.003779899176626444,False,0.12267922794117647
784,"[1139, 1296, 1272]",0.4602438220179657,64,adam,0.1869433555634354,0.0172961523494627,False,0.1723878729605682,False,0.004698614622298163,0.0001720888064375721,0.00820041853939272,False,0.10111464968152867
