input_dim,hdims,dprob,batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
784,"[748, 1131, 947]",0.2958835664552529,256,adamax,0.011761824861516251,0.0025595717862307707,False,0.31079647229789686,True,0.8910730094773639,0.0024983870406174676,0.20175323639907689,True,0.97373046875
784,"[50, 2048, 2048, 2048]",1e-05,128,adam,0.012906191158897327,0.0001,False,1.0,False,1.0,0.0001,0.0001,False,0.9645174050632911
784,"[1954, 50, 50]",0.19489894801542743,256,adagrad,0.02085773217938288,0.060652094352152686,True,0.002425563772471872,True,0.14131972708640414,0.008428186326891567,0.0049208159434714184,True,0.9638160342261904
784,"[615, 916, 69]",0.6892751137417105,512,adam,0.006714159707109242,0.0011833827404846193,False,0.0012079769807718992,False,0.0005029104305218674,0.0018191385764705784,0.3668059597657605,True,0.9637849866509103
784,"[50, 1184, 102, 139]",0.14200246032749841,64,adamax,0.013512539802655871,0.0026553037716967195,True,0.021372563034722073,False,0.07383109749414113,1.0,0.00043449556137657144,True,0.9636942675159236
784,"[1615, 2048, 1136]",0.5995514980936314,256,sgd,0.0030914100060496653,0.016357110962311686,False,0.013240762131866177,True,0.06266154584944866,0.17803949852610107,0.7436179938000915,False,0.9540690104166667
784,[1748],0.06125427425427291,128,adagrad,0.0001,1.0,True,0.9620354850809085,True,1.0,0.0001,1.0,True,0.9532931170886076
784,"[2048, 1137]",0.6368332062857895,512,adagrad,0.007465182906538391,0.0003380738392878709,False,0.0038317605332396673,False,0.0001,0.0001,0.18544423882992353,True,0.9519140077906162
784,[2048],0.5487056665036796,128,adamax,0.0001,0.09595932177425512,True,1.0,True,1.0,0.0001,1.0,True,0.9507416930379747
784,[1822],0.8173367462791874,64,sgd,0.0001863130774220831,0.007861174197652646,False,0.004647084390625023,True,0.0033577505337053014,0.169643704956576,0.17545128284133335,False,0.9506966560509554
784,"[1211, 50, 50, 2048]",1e-05,128,adagrad,0.0001,1.0,False,0.4207146517391109,True,1.0,0.0001,1.0,True,0.9418314873417721
784,"[50, 1015, 1632, 178]",1e-05,64,sgd,0.109085783277606,0.0014566940066596367,False,0.0001,True,0.002251181415437844,0.0001,0.0001,True,0.9417794585987261
784,"[50, 50, 50, 50]",1e-05,256,adam,1.0,0.0001,False,0.002901967443998373,False,0.0001,0.00013407481159636843,1.0,True,0.9238234747023809
784,"[2048, 1965, 50, 2048]",0.6944683460359554,64,sgd,0.0015766079156032478,0.2759210681894545,False,0.0006728069709993892,False,0.0113333339100607,1.0,1.0,False,0.9163017515923567
784,"[50, 1599]",0.7449012547778798,128,adadelta,0.0015708764589413607,0.3534762892452477,False,0.06371409341299057,True,0.010507033662843255,1.0,0.00023915424485801873,True,0.9097310126582279
784,"[50, 1512, 855, 50]",0.3783575506794313,64,adamax,0.021784215169534975,0.0001,False,0.5841039951385039,True,1.0,1.0,0.01684154531938484,True,0.9097133757961784
784,"[906, 1430, 1487]",0.7800299616344603,128,adagrad,0.00036291343876698886,0.004018557868115633,False,0.0019797191018934594,True,0.06012024043179144,0.023747046283529548,0.03366418236127843,True,0.8960146360759493
784,[1473],0.7402989877708808,128,adadelta,0.04158007131634749,0.003127560411392145,True,0.8953258961145083,False,0.12823830101283018,0.00012939807637203838,0.0004961649309025573,True,0.885759493670886
784,"[788, 433]",0.37777889747347987,512,adam,0.0069902722146553626,0.022308986887143775,False,0.006113311709197437,False,0.0007852195446020201,0.004055130960163502,0.11437644637723345,True,0.8687308517156863
784,"[860, 430, 1025, 1054]",0.4033607858712486,64,sgd,0.02622801255798107,0.0011578300820105593,False,0.021686250314398497,True,0.000485355660109898,0.00016845348482920214,0.0004247573607883566,True,0.8644307324840764
784,"[661, 1344]",0.5674660622616445,256,sgd,0.00430956395008544,0.0005626914869047894,False,0.015839096059398535,True,0.023035540391454324,0.01362890393683487,0.00011498077733653862,False,0.853803943452381
784,"[2048, 480]",0.05009765923253656,512,rmsprop,0.0588346824563107,0.00071229512128615,True,0.010200085497964272,False,0.0014938096355381401,0.0001,1.0,True,0.8454528295693278
784,"[2048, 540, 1037]",1e-05,64,adamax,0.0001,1.0,True,0.024912708649039505,True,1.0,0.0001,0.004605188130413513,True,0.8006369426751593
784,[1828],0.46427341305611075,256,adam,0.009755176810470289,0.054081864247936,False,0.0002727192594704537,True,0.000853775562596442,0.005590397012019964,0.1014312961401944,True,0.7908621651785714
784,[2048],1e-05,64,adamax,0.0001,1.0,True,1.0,True,1.0,0.0001,0.0238509454071606,True,0.788515127388535
784,"[50, 1039, 1774]",0.6697548554192136,128,adadelta,0.0056602693321751146,0.018178908827252413,True,0.20288122416861382,True,0.15785160417806085,1.0,1.0,True,0.7743077531645569
784,[546],0.16141728357483487,64,sgd,0.007685611474158944,0.7609810561220206,False,0.8729662382615566,False,0.06274416646798976,0.23047149530008162,0.03055898561793937,True,0.7643710191082802
784,"[180, 655, 281]",0.5744323009610355,512,adam,0.05751024443493482,0.015565266868400002,False,0.09968804732639969,True,0.00547902485831969,0.0001,0.04198772171115698,True,0.7233888086484593
784,"[50, 1638]",0.2502230255367919,256,sgd,0.00021746778849367953,0.0001,False,0.008982445118317693,False,0.34435558751163475,0.0729558293327076,0.00021780218343265935,False,0.7005208333333334
784,"[357, 258, 1049]",0.08600304459013548,256,rmsprop,0.00017918998467588264,0.09096466196505133,True,0.0011574917528507118,True,0.11647701681842249,0.5304531230689881,0.0006593769486030334,False,0.5393275669642857
784,"[1052, 1445, 1038]",0.7323340380578829,512,sgd,0.1891706520877656,0.08258177035296671,True,0.054856109605220985,True,0.0015133324039591405,0.007334098774742312,0.0118067871029893,False,0.49703543526785715
784,"[1384, 740]",0.3939129831721725,512,rmsprop,0.0009425857238581885,0.1399072438162149,True,0.038054065472184935,False,0.0001,0.06880557708111251,0.0001,True,0.43461052389705884
